Synthetic,Noise,epoch,loss,train_error,validation_error,Type
False,10.0,0,0.08435158431529999,19.421567916870117,28.530536651611328,4
False,10.0,1,0.0019068419933319092,4.343810558319092,7.546305179595947,4
False,10.0,2,0.0011370384600013494,3.4113502502441406,2.6149098873138428,4
False,10.0,3,0.0010758902644738555,3.3186755180358887,2.5488200187683105,4
False,10.0,4,0.0010739649878814816,3.3150370121002197,2.436258316040039,4
False,10.0,5,0.0010728738270699978,3.313991069793701,2.467115879058838,4
False,10.0,6,0.0010661823907867074,3.3038077354431152,2.53444766998291,4
False,10.0,7,0.0010638524545356631,3.3000504970550537,2.6606605052948,4
False,10.0,8,0.0010475931921973825,3.274571418762207,2.5235495567321777,4
False,10.0,9,0.001013988978229463,3.221745491027832,2.5627565383911133,4
False,10.0,10,0.0009572844137437642,3.1304972171783447,2.2090630531311035,4
False,10.0,11,0.0008618757128715515,2.9702000617980957,1.968720555305481,4
False,10.0,12,0.0007566901622340083,2.7830185890197754,1.6242587566375732,4
False,10.0,13,0.0006616822211071849,2.602210521697998,1.4419066905975342,4
False,10.0,14,0.0005875477800145745,2.4520301818847656,1.0492018461227417,4
False,10.0,15,0.0005422938265837729,2.356205463409424,0.7708927392959595,4
False,10.0,16,0.0005247841472737491,2.317810535430908,0.6596704721450806,4
False,10.0,17,0.0005161401350051165,2.298734426498413,0.6135126948356628,4
False,10.0,18,0.0005113855586387217,2.2879936695098877,0.6652106046676636,4
False,10.0,19,0.0005082812858745456,2.28110408782959,0.6936949491500854,4
False,10.0,20,0.0005091380444355309,2.283097505569458,0.6148251295089722,4
False,10.0,21,0.000509920297190547,2.2846269607543945,0.5361624360084534,4
False,10.0,22,0.0005075072986073792,2.279313802719116,0.5715398192405701,4
False,10.0,23,0.000506575801409781,2.2773404121398926,0.5448445081710815,4
False,10.0,24,0.0005065012956038117,2.2770705223083496,0.5055080652236938,4
False,10.0,25,0.0005069503677077591,2.2780933380126953,0.5562388896942139,4
False,10.0,26,0.0005085741868242621,2.281813859939575,0.47171157598495483,4
False,10.0,27,0.0005080755217932165,2.280723810195923,0.5518012642860413,4
False,10.0,28,0.0005063986754976213,2.27689266204834,0.548790693283081,4
False,10.0,29,0.0005061729461885989,2.2762720584869385,0.6483753323554993,4
False,10.0,30,0.0005082894931547344,2.2811708450317383,0.5139750838279724,4
False,10.0,31,0.0005058118840679526,2.2755863666534424,0.516964316368103,4
False,10.0,32,0.0005051098996773362,2.2740426063537598,0.5663133859634399,4
False,10.0,33,0.0005057187518104911,2.2754101753234863,0.5124620199203491,4
False,10.0,34,0.0005054843495599926,2.2748985290527344,0.5118823051452637,4
False,10.0,35,0.0005076686502434313,2.2797255516052246,1.0105466842651367,4
